month,year,county,num_retailers,num_returns,gross_sales,retail_sales,state_net_taxable_sales,state_sales_tax
4,2017,Costilla,,710,2701000,2654000,1128000,32000
6,2016,Kit Carson,,1334,48576000,38076000,9258000,261000
10,2017,Chaffee,,1974,48731000,44989000,26107000,732000
8,2015,Montezuma,,1560,65926,54056,29118,825
5,2020,Gilpin,,2006,7593000,6715000,5012000,
11,2020,Broomfield,,6397,269374000,209331000,120954000,
8,2016,Chaffee,,1812,60534000,56320000,33815000,950000
12,2016,Prowers,,1428,96820000,78633000,12839000,361000
8,2017,Summit,,4203,177653000,171041000,107779000,3026000
3,2015,Huerfano,,959,8976,7888,2834,80
1,2017,Bent,,569,3488000,3315000,1261000,35000
4,2017,El Paso,,12543,1587786000,1353428000,802518000,22595000
1,2017,Yuma,,1286,21635000,19755000,7916000,223000
1,2016,Dolores,,385,4630000,1665000,907000,25000
3,2017,Garfield,,5363,259202000,235026000,106065000,2979000
6,2020,Mineral,,878,4843000,4371000,3292000,
11,2020,Las Animas,,3798,39072000,35104000,15734000,
5,2016,Sedgwick,,567,5673000,5137000,1337000,37000
3,2020,San Juan,,516,1668000,1507000,925000,
4,2015,Otero,,1418,42387,33984,11205,315
5,2020,Rio Blanco,,2188,26916000,16503000,7678000,
11,2020,Adams,,38483,2623598000,1947761000,844821000,
9,2016,Arapahoe,,19900,2603046000,1916659000,954711000,26856000
9,2015,Adams,,14897,2700505,1904707,698530,20050
5,2020,Archuleta,,2841,35331000,32089000,20702000,
11,2020,Douglas,,35097,1541275000,1154350000,641660000,
12,2018,Baca,,2872,30881000,10138000,2539000,73000
3,2018,Kit Carson,,1520,38674000,35737000,8190000,231000
3,2018,Huerfano,,1225,11490000,10570000,3579000,100000
10,2019,Lincoln,,1761,24689000,22121000,8360000,235000
6,2016,Sedgwick,,624,7055000,6318000,1584000,44000
7,2020,Chaffee,,5702,94367000,83745000,51319000,
11,2020,Cheyenne,,1320,8187000,7126000,3037000,
6,2015,Rio Grande,,1429,30435,26942,9449,266
1,2019,Lake,,903,11796000,10804000,5968000,168000
8,2018,Fremont,,2597,88513000,73235000,35954000,1016000
3,2020,Teller,,4885,54698000,48991000,27775000,
11,2020,Dolores,,1184,5912000,5670000,2059000,
6,2018,Rio Grande,,1778,37625000,30784000,11976000,337000
12,2019,Ouray,,2320,16171000,12355000,6933000,195000
3,2019,Summit,,7487,316546000,301015000,200573000,5632000
12,2016,Costilla,,767,13408000,11720000,1241000,35000
5,2015,Lake,,631,8280,7894,3639,102
10,2019,Kit Carson,,2398,59286000,53157000,13501000,384000
10,2015,Hinsdale,,266,1434,1398,764,21
2,2016,Mineral,,311,3682000,3605000,1101000,31000
9,2015,Summit,,5271,144559,139185,87556,2461
10,2015,Archuleta,,908,26108,25007,15165,426
10,2018,Cheyenne,,684,6292000,4114000,2081000,59000
5,2016,Baca,,753,6433000,6260000,1946000,55000
8,2017,Archuleta,,1084,33124000,31983000,19743000,554000
4,2019,Huerfano,,1330,11342000,10119000,4126000,116000
5,2020,Yuma,,3183,60804000,49804000,15089000,
11,2020,Montezuma,,5764,67762000,60306000,30069000,
1,2017,Rio Blanco,,877,31389000,12009000,5099000,143000
5,2016,Chaffee,,1767,46333000,42822000,25305000,710000
2,2020,Pueblo,,8858,485178000,392618000,183218000,
11,2020,Prowers,,3320,35768000,31278000,13032000,
5,2018,Mesa,,5560,481434000,392904000,233824000,6575000
2,2015,Conejos,,800,4017,3669,1716,48
8,2016,Ouray,,779,11593000,11421000,8388000,235000
6,2017,Teller,,2350,48293000,45077000,24663000,713000
2,2015,Jefferson,,12556,1311250,1141207,541365,15246
7,2020,Gilpin,,2161,14397000,12549000,9852000,
11,2020,Lake,,2476,18515000,16286000,7781000,
10,2017,San Miguel,,1629,21233000,20226000,13446000,378000
5,2020,Clear Creek,,3476,23488000,17489000,9070000,
11,2020,Kiowa,,955,5810000,5428000,1953000,
7,2015,Saguache,,779,8674,8520,2632,74
8,2019,Washington,,1533,11486000,10522000,2958000,83000
12,2015,Garfield,,4953,277116,248634,109619,3079
9,2017,Chaffee,,2619,69492000,63326000,34924000,981000
2,2015,Fremont,,1918,55746,48001,23330,659
9,2019,Costilla,,1206,5441000,4966000,2184000,62000
5,2019,Phillips,,1275,20819000,16237000,3459000,97000
9,2020,Teller,,6292,68634000,61031000,37467000,
11,2020,Larimer,,31439,1252350000,999270000,543657000,
9,2018,Kiowa,,579,4279000,4135000,834000,23000
9,2019,Otero,,3826,65774000,41567000,14935000,419000
4,2020,La Plata,,7088,157937000,129167000,68057000,
11,2020,Mesa,,15036,580658000,502320000,226078000,
12,2017,Costilla,,869,14310000,12831000,1184000,33000
5,2020,Montrose,,5868,128855000,111079000,64459000,
11,2020,Phillips,,2114,18438000,12391000,4145000,
1,2015,Lincoln,,873,20271,16394,4974,140
3,2019,Bent,,728,4257000,3832000,1720000,48000
9,2016,Pueblo,,4972,476852000,360455000,178970000,5030000
7,2020,Alamosa,,3201,61459000,51463000,29895000,
11,2020,Pitkin,,7755,121492000,112732000,66128000,
2,2020,Adams,,30007,2620163000,1986249000,777527000,
11,2020,Huerfano,,2520,13745000,12148000,5767000,
9,2016,Mesa,,6838,477372000,395079000,199523000,5616000
12,2017,Kit Carson,,1516,70494000,38440000,9102000,256000
6,2019,Costilla,,1116,5543000,4932000,1928000,54000
11,2017,Conejos,,1066,6648000,5574000,2920000,83000
8,2017,Park,,1610,17932000,17196000,9134000,256000
2,2017,Douglas,,9818,946212000,727086000,388266000,10914000
2,2016,San Juan,,300,1277000,1264000,776000,22000
6,2016,Alamosa,,1291,58609000,49378000,25960000,728000
8,2019,Phillips,,1559,21601000,19085000,3377000,95000
3,2015,Lake,,766,10130,9742,4748,135
12,2017,Hinsdale,,392,1213000,1146000,510000,14000
11,2019,Mineral,,588,2526000,2357000,1319000,37000
6,2018,Grand,,4201,63175000,61021000,40232000,1130000
7,2015,Yuma,,1141,39765,29198,9360,263
10,2019,Custer,,1557,8220000,7229000,4338000,122000
10,2017,Gunnison,,2286,58636000,45690000,20956000,588000
1,2016,Garfield,,3979,209583000,185155000,82581000,2322000
6,2017,Routt,,3302,107993000,92224000,54745000,1540000
4,2016,Elbert,,1566,27061000,24206000,9996000,281000
2,2017,Phillips,,751,7803000,6316000,2443000,69000
4,2015,Summit,,3638,116053,111323,68866,1935
6,2016,Adams,,15831,2909302000,2100141000,760745000,21727000
7,2015,Larimer,,8669,979867,835644,493266,13871
5,2016,Mineral,,325,1663000,1573000,1063000,30000
5,2019,Jackson,,616,8308000,7904000,4463000,125000
11,2016,Gunnison,,2021,41876000,40058000,16173000,455000
5,2016,Lake,,682,9567000,9159000,5171000,145000
5,2015,Prowers,,1093,26954,23543,10547,296
8,2015,Saguache,,784,7588,7401,2738,77
4,2016,Lincoln,,901,16263000,15571000,5180000,146000
4,2017,Delta,,2382,43129000,38632000,19859000,557000
3,2020,Logan,,4015,87954000,56842000,24442000,
11,2020,Hinsdale,,816,2919000,2750000,1200000,
7,2016,Teller,,1716,42986000,41143000,24572000,703000
8,2019,Gilpin,,1709,17099000,15400000,11352000,389000
5,2018,Dolores,,485,4532000,2342000,1263000,35000
10,2015,Custer,,637,4748,4479,2270,64
12,2019,Fremont,,6693,104988000,81884000,41658000,1175000
11,2016,Huerfano,,920,10302000,8699000,3180000,89000
9,2016,Logan,,1825,66682000,54725000,22785000,644000
7,2015,Ouray,,731,12473,12282,9539,268
7,2019,Gilpin,,1684,17877000,14823000,10776000,381000
1,2018,Clear Creek,,1711,22908000,18496000,9169000,257000
4,2015,Cheyenne,,518,9617,7794,2842,80
6,2018,Larimer,,15290,1439810000,1106528000,570551000,16071000
8,2019,Kiowa,,694,6209000,4764000,1131000,32000
9,2015,Montrose,,2642,126668,101355,49349,1387
6,2019,Alamosa,,2647,60365000,50502000,27876000,782000
1,2015,Ouray,,693,5563,5499,3291,92
2,2018,Hinsdale,,317,660000,654000,327000,9000
7,2019,Delta,,5279,63162000,52985000,28179000,791000
6,2016,Ouray,,949,12794000,12368000,7745000,217000
7,2018,Costilla,,809,3544000,3395000,1305000,37000
4,2015,Moffat,,1106,33511,29280,15798,444
10,2019,Alamosa,,2574,56272000,46364000,25294000,710000
4,2017,Yuma,,1341,33612000,26532000,9497000,267000
11,2016,Lake,,705,8000000,7672000,3714000,105000
6,2020,Moffat,,3028,50865000,44102000,23289000,
11,2020,Morgan,,6422,96288000,80437000,34413000,
1,2018,Las Animas,,1620,30961000,29125000,12766000,358000
11,2017,Mineral,,382,1796000,1760000,1025000,29000
1,2017,Elbert,,1709,22362000,20677000,9741000,273000
7,2018,La Plata,,3107,195964000,164672000,97542000,2739000
9,2018,Sedgwick,,745,6633000,6326000,1443000,40000
10,2015,El Paso,,11247,1570510,1305017,763093,21486
8,2020,Boulder,,30666,1515710000,1205180000,554448000,
11,2020,Yuma,,3657,41286000,34621000,15853000,
10,2018,Routt,,2752,86875000,76377000,46426000,1305000
2,2019,El Paso,,17120,1637541000,1349661000,769476000,21664000
9,2016,Elbert,,2087,35012000,29765000,13645000,384000
9,2017,Garfield,,5570,280670000,254724000,109873000,3086000
12,2019,Rio Grande,,3442,206357000,33663000,11475000,322000
5,2019,Larimer,,19930,1157379000,934565000,564356000,15881000
1,2015,Routt,,2106,109129,103732,59257,1663
11,2018,Grand,,3185,42178000,38331000,24376000,684000
9,2016,Custer,,840,7532000,7112000,3495000,98000
12,2015,Gunnison,,2535,131893,120732,27912,783
3,2017,Pueblo,,5184,450231000,392970000,183705000,5166000
3,2020,Montezuma,,4696,65925000,59673000,26682000,
11,2020,Mineral,,838,5086000,4879000,1261000,
6,2018,Weld,,19800,1560593000,1072767000,538711000,15249000
5,2015,Jefferson,,12787,1554232,1326800,692135,19469
2,2015,Sedgwick,,526,4145,3750,1321,37
5,2018,Custer,,803,5632000,5251000,3162000,89000
1,2020,San Miguel,,3413,59115000,55195000,41688000,
11,2020,Lincoln,,2492,23809000,22080000,8116000,
4,2015,Montrose,,2012,89629,79340,41430,1166
2,2020,Summit,,8085,279396000,264432000,175498000,
11,2020,Sedgwick,,1302,7729000,7125000,1918000,
2,2020,Cheyenne,,1025,11538000,7724000,3775000,
11,2020,Archuleta,,3431,42341000,38818000,22876000,
7,2017,Gilpin,,859,11044000,10249000,7094000,266000
5,2020,Total 2,,500146,20917314000,16402916000,8698195000,
5,2017,Mineral,,364,1835000,1782000,1254000,35000
1,2019,Mineral,,345,4694000,4623000,1517000,43000
